cui	definition
C0341117	Esophageal erosions
C0020635	Hypopituitarism
C0426623	Excessive flatulence
C0155170	Conjunctival cyst
C0860514	Dreamy state
C0027430	Nasal polyps
C1504376	Unresponsive to verbal stimuli
C0235315	Faeces discoloured
C0852878	Non-accidental injury
C0549310	Vaginal mycosis
C1504411	Post procedural oedema
C0853015	Blood growth hormone increased
C0020569	Salivary gland enlargement
C0404521	Vaginal infection
C0948610	Abdominal strangulated hernia
C0262576	Nerve paralysis
C0030193	Pain
C0438215	Laboratory test abnormal
C0151662	Gamma-glutamyltransferase increased
C0235678	Vaginal odour
C0854268	Foetal damage
C0392039	Ovarian enlargement
C0030486	Paraplegia
C0853028	Blood pH decreased
C0241237	Dysstasia
C0033036	Supraventricular extrasystoles
C0235999	Pain neck/shoulder
C0002103	Atopic rhinitis
C0151468	Thyroid adenoma
C1096225	Vessel puncture site haemorrhage
C0860987	Phosphate low
C0746883	Febrile neutropenia
C0085622	Monoplegia
C0392168	Emprosthotonus
C0877128	Application site pustules
C0740425	Taste altered
C0856150	Spinal haematoma
C0541799	Bad taste
C0847631	Dry scalp
C0085614	Atrioventricular block first degree
C1096119	Cardiac valve replacement complication
C1306503	Exomphalos
C0018843	Heat stroke
C0028259	Nodule
C0263437	Acne infantile
C0239511	Numbness facial
C0235266	Eye irritation
C0475319	Pelvic haematoma
C0860493	Refractory hypertension
C0948288	Conjunctival discharge
C0549259	Anxiety aggravated
C0858226	Plasma cholesterol increased
C2747793	Acute phosphate nephropathy
C0221046	Carotid sinus syndrome
C0011991	Diarrhoea
C0024314	Lymphoproliferative disorder
C0276908	Pneumocystis jirovecii infection
C0085271	Self injurious behaviour
C0855335	Electrocardiogram ST segment abnormal
C0000889	Acanthosis nigricans
C0232124	Skipped beats
C0031736	Polymorphic light eruption
C0151603	Generalised oedema
C0015967	Body temperature increased
C0281856	Generalized aching
C0031085	Abscess periodontal
C2720436	Pleural fibrosis
C0151544	Gastrointestinal carcinoma
C0270327	Nocturnal enuresis
C0347950	Asthmatic attack
C0235710	Chest discomfort
C0233754	Derealisation
C0151726	Injection site hypersensitivity
C0877104	Retinal toxicity
C0332534	Induration
C0948352	Injury asphyxiation
C0235857	Lacrimation decreased
C0457436	Hemiparesis (left)
C0243001	Abdominal abscess
C0025063	Mediastinum neoplasm
C2939130	Other bacterial diseases
C0235467	Angina pectoris aggravated
C0031256	Petechiae
C0852914	Bacteriuria NOS present
C0035126	Reperfusion injury
C0542313	Sleep talking
C0263540	Onychomadesis
C0848309	Rhinitis perennial
C0541831	Choreiform
C0856136	Fatigue aggravated
C0332601	Cushingoid
C0376175	Bell's palsy
C0012624	Intervertebral discitis
C0554309	Azotemia prerenal
C0235639	Urine abnormality
C0522061	Abdominal pain localised
C0278016	Faeces hard
C0232267	Pericardial rub
C0029163	Mouth haemorrhage
C0266241	Congenital absence of bile ducts
C0521854	Drug tolerance decreased
C0750194	Non-sustained ventricular tachycardia
C0007134	Renal cell carcinoma
C0040252	Body tinea
C0429028	Electrocardiogram QT interval
C0919662	Menstrual cycle prolonged
C1536459	Nettle rash
C0015469	Facial paralysis
C0002063	Alkalosis
C0271036	Retinal scar
C0586553	Thyrotropin high
C0030976	Perceptual distortions
C0020532	Hypersplenism
C0259768	Wound dehiscence
C0263367	Koebner phenomenon
C0020672	Body temperature decreased
C0685938	Gastrointestinal neoplasm malignant
C0012817	Diverticulum
C0236171	Infection susceptibility increased
C0403645	Atonic urinary bladder
C0013363	Dysautonomia
C0549473	Thyroid carcinoma
C0234925	Oily skin
C0221281	Poikilocytosis
C0240464	Neck oedema of
C0948715	Infusion related reaction
C1740793	Post-tussive vomiting
C0029464	Osteosclerosis
C0221237	Angular cheilitis
C0010828	Cytopenia
C0235431	Blood creatinine increased
C0520463	Hepatitis chronic active
C0521491	Application site pain
C0521481	Oedema mucosal
C0854212	Subepithelial opacities
C0235002	Head discomfort
C0853714	Application site pruritus
C0263591	Drug-induced lupus erythematosus
C2721737	Application site stinging
C0042065	Genitourinary tract neoplasm
C0342592	Anion gap increased
C0019555	Developmental hip dysplasia
C0236178	Intra-abdominal haemorrhage
C0549463	X-linked lymphoproliferative syndrome
C0853875	Myoglobin urine present
C0036749	Serositis
C0032290	Pneumonia aspiration
C1561230	Soft tissue necrosis
C0155964	Atrophic glossitis
C0221239	Glomerulonephritis rapidly progressive
C0027441	Nasopharyngitis
C0234934	Urticaria vesiculosa
C0542223	Speech loss
C0018500	Hair disorder
C0156308	Penile oedema
C0269173	Fallopian tube cyst
C1504431	Idiopathic pneumonia syndrome
C0948862	Detachment of retinal pigment epithelium
C0549429	Surgical site reaction
C0521987	Pre-existing disease
C0857122	Hyponatraemic
C0424091	Decreased interest
C0455204	Homicidal ideation
C0343863	Genital candidiasis
C0023895	Liver disorder
C0042138	Uterine neoplasm
C0343494	Risus sardonicus
C0948036	Gastric ulcer helicobacter
C0029405	Brown tumour
C0235093	Paralysis of bladder
C1112192	Erythrosis
C3203457	Procedural haemorrhage
C0948333	Neutrophil percentage increased
C0345903	Anal skin tags
C0010038	Corneal opacity
C0854146	Blood test abnormal
C0013428	Dysuria
C1112376	Optic disc vascular disorder
C1456865	Calculus ureteric
C0235942	Skull malformation
C1142163	Intestinal mass
C0240897	Retinal exudates
C0521508	Injection site bruising
C0393760	Initial insomnia
C0239296	Oesophageal obstruction
C0020579	Hypervitaminosis A
C0039075	Syndactyly
C0023518	Leukocytosis
C1610049	Application site exfoliation
C0155943	Arthralgia of temporomandibular joint
C0877154	Visual brightness
C0032227	Pleural effusion
C0235763	Psoriasis flare-up
C1112559	Pancreatitis due to biliary obstruction
C0233931	Nocturnal emission
C0948779	Gastrointestinal hypomotility
C0549609	Dysfunction adrenal
C0003130	Anoxia
C1096691	BK virus infection
C0423602	Sensation of foreign body
C0155626	Acute myocardial infarction
C0740292	5'nucleotidase increased
C0341212	Gastrointestinal fistula
C0020546	Hypertensive crisis
C0428977	Bradycardia
C0220870	Lightheadedness
C0221203	Rash vesicular
C0742006	Catheter infection
C1142492	Postinfarction angina
C0232933	Menstrual cycle abnormal
C0007758	Cerebellar ataxia
C0699828	Serotonin syndrome
C0853326	Dyspnoea exacerbated
C0575090	Balance disorder
C0234987	Dizziness postural
C0042996	Vulvitis
C0234518	Slurred speech
C0333604	Chrysiasis
C0155503	Vertigo CNS origin
C0038999	Swelling
C1328407	Hip dysplasia
C0751495	Partial seizures
C0276684	Balanitis candida
C0521540	Brain stem haemorrhage
C1142358	Lactic acidosis syndrome
C0849925	Ventricular failure
C0085642	Livedo reticularis
C0006826	Neoplasm malignant
C0019123	Haemothorax
C0019621	Langerhans' cell histiocytosis
C0013456	Ear pain
C2712122	Blood pressure normal
C0857093	Elevated liver enzyme levels
C0948811	Artificial kidney clotting during dialysis
C0600327	Toxic shock syndrome
C0031036	Polyarteritis nodosa
C0851886	Pneumocystis carinii infection
C0009946	Conversion disorder
C0854165	Conjunctivitis papillary
C0333355	Mucosal inflammation
C0026650	Movement disorder
C0001198	Acrodynia
C0412784	Analgesic therapy
C0853974	Blood gonadotrophin decreased
C0857246	Red neck
C0877325	Anal sphincter atony
C0541798	Terminal insomnia
C0856049	Peripheral embolism
C0858520	Serum gastrin increased
C0039128	Syphilis
C1096460	Infusion site phlebitis
C0541881	Difficulty focusing eyes
C0152081	Pustular psoriasis
C0542243	Toxic reaction (NOS)
C0036220	Kaposi's sarcoma
C0857370	Generalized flushing
C0005747	Blepharospasm
C0023449	Acute lymphocytic leukaemia
C0919907	Pleural infection
C0178282	Abdominal hernia
C0151511	Breast atrophy
C0007815	Cerebrospinal fluid rhinorrhea
C1140716	Hypoxic-ischaemic encephalopathy
C0853226	International normalised ratio decreased
C0345996	Milia
C0010414	Cryptococcosis
C0042143	Uterine rupture
C0033375	Prolactinoma
C0085641	Rash pustular
C0877232	Peripheral swelling
C0235557	Pulmonary granuloma
C0011849	Diabetes mellitus
C0235592	Lymphadenopathy cervical
C0268105	Uricaciduria
C0576995	Pharyngeal haemorrhage
C0005858	Bloodshot eye
C1167779	Neutropenic infection
C0857056	Blotchy rash
C0858598	Taste salty
C0919892	Blood pressure inadequately controlled
C0006107	Concussion
C0267792	Hepatobiliary disease
C0543392	Feces bloodstained
C0853697	Neutrophil count decreased
C0007684	Central nervous system infection
C0347602	Retinal injury
C0340279	Ventricular hypertrophy
C0267410	Mesenteric artery thrombosis
C0851883	Neisseria infection
C3665596	Warts
C0236124	Gastrointestinal obstruction
C0011303	Demyelination disorder NOS
C0159056	Abnormal chest sounds NOS
C0849835	Lip haemorrhage
C1142249	Infected cyst
C0264995	Arterial occlusion
C0863070	Catheter site related reaction
C0406834	Wound secretion
C0162627	Skin bacterial infection
C0700201	Dyssomnia
C0085611	Atrial arrhythmia
C0854111	Blood triglycerides decreased
C0020440	Hypercapnia
C0555724	Lip dry
C0017412	Genital disorder male
C0162810	Hypertrophic scar
C0861148	Proarrhythmia
C0010278	Craniosynostosis
C1264610	Infectious peritonitis
C0031037	Periarthritis
C0948447	Chromosomal mutation
C0521592	Hypoaesthesia oral
C0870082	Hyperkeratosis
C0004158	Athetosis
C0234906	Erythema annulare
C0234708	Intraocular pressure increased
C0036529	Cardiomyopathy secondary NOS
C0008033	Pleuritic pain
C0740330	Genital infection fungal
C0008313	Cholangitis sclerosing
C0400839	Rectal ulcer
C1096658	Urine phosphorus increased
C0040264	Tinnitus
C0014863	Oesophageal spasm
C0392163	Corneal erosion
C0003850	Arteriosclerosis
C1306341	Mental disability
C0085128	Cardiac output increased
C0040997	Trigeminal neuralgia
C0151599	Drug level increased
C0221166	Paraparesis
C0021290	Neonatal disorder
C0262593	Peripheral nerve injury
C0002624	Retrograde amnesia
C0035302	Retinal artery occlusion
C3544174	Perineal injury
C0267055	Erosive oesophagitis
C0860195	Acute fatty liver
C0241012	Serum ferritin decreased
C0085593	Chills
C0428167	Fraction of inspired oxygen
C0853777	Blood albumin decreased
C0020523	Type I hypersensitivity
C0022116	Ischaemia
C0034735	Raynaud's phenomenon
C0019159	Hepatitis A
C0876991	Histiocytosis haematophagic
C2937228	Tunnel vision
C0004239	Atrial flutter
C0919866	Eye naevus
C0085582	Neuritis retrobulbar
C0877359	Raised liver function tests
C1291077	Abdominal bloating
C2607896	Vulva discomfort
C0235231	Pupils pinpoint
C0035321	Retinal tear
C0021390	Inflammatory bowel disease
C0949690	Spinal osteoarthritis
C1096071	Type III immune complex mediated reaction
C1112709	Unspecified non-gonococcal urethritis (NGU)
C0154983	Cataract traumatic
C0474378	Hair colour changes
C0001849	AIDS dementia complex
C0392390	Hepatitis B e antigen positive
C0948594	Musculoskeletal discomfort
C0267940	Pancreatitis haemorrhagic
C0426498	Tongue dry
C0034103	Pulpitis dental
C0152167	Anal spasm
C1565489	Renal impairment
C1285373	Respiratory disorder neonatal
C0750272	Unilateral vision loss
C0020429	Hyperpathia
C0151464	Injection site abscess
C0338573	Intracranial venous sinus thrombosis
C0333139	Pneumatosis
C0741132	Antibody test positive
C0021141	Inappropriate antidiuretic hormone secretion
C0038587	Withdrawal syndrome
C1956391	Temporal arteritis
C0549209	Feeling jittery
C0542224	Spots before eyes
C0578455	Abscess limb
C0152171	Primary pulmonary hypertension
C0001969	Alcohol intoxication
C0151623	Enterocolitis haemorrhagic
C2939094	Skin sensitisation
C0012797	Diuresis
C0003811	Arrhythmia
C0220983	Metabolic alkalosis
C0085570	Alkalosis hypokalaemic
C0233467	Inappropriate affect
C0274727	Digoxin toxicity
C0399461	Oral mucosa erosion
C0553692	Haemorrhagic stroke
C0474529	Haemoglobin normal
C0235827	Therapeutic response decreased
C0281940	Pelvic peritonitis
C0234975	Convulsions aggravated
C0857332	Clonic movements
C0854380	Blood insulin decreased
C1145670	Respiratory failure
C0030299	Pancreatic pseudocyst
C1096262	Escherichia bacteraemia
C0860499	Conjunctival follicles
C1504379	Coagulation test abnormal
C0151830	Urethral pain
C1141938	Ocular icterus
C0042023	Pollakiuria
C1175175	Severe acute respiratory syndrome
C0521628	Genital itching male
C0475746	Light anaesthesia
C0023467	Acute myeloid leukaemia
C0235912	Hepatic haemorrhage
C0520573	Buffalo hump
C0854706	Neonatal infection
C0574002	Foot edema
C0240557	Nasal irritation
C1112341	Connective tissue inflammation
C0156318	Breast fibrosis
C0001486	Adenovirus infection
C0266316	Congenital hydronephrosis
C0002957	Anger
C0549444	Vein discolouration
C0030591	Paroxysmal ventricular tachycardia
C0151639	Fertility female decreased
C1095967	Psychiatric evaluation abnormal
C0017638	Glioma
C0043037	Common wart
C0857980	Serum prolactin increased
C0031133	Vermiculation
C0020461	Hyperkalaemia
C0014511	Cyst epidermal
C0877306	Iris hyperpigmentation
C0020456	Hyperglycaemia
C0221264	Cheilosis
C1142295	Drug-induced cough
C0853644	Eosinophil count abnormal
C0264267	Nasal ulcer
C0260662	Auditory disorder NOS
C0013132	Drooling
C0278079	Dependence psychological
C0042109	Urticaria
C0520546	Pulmonary microemboli
C0920289	Sluggishness
C0001364	Acute yellow liver atrophy
C1285577	Acute confusional state
C0029925	Ovarian carcinoma
C0158252	Intervertebral disc disorder
C0436503	Chest X-ray abnormal
C0518015	Haemoglobin
C0038363	Aphthous stomatitis
C0520854	Mean arterial pressure decreased
C0677660	Emotional problems
C1096670	Antitussive therapy
C0042373	Angiopathy
C0085617	Arterial spasm
C0019829	Hodgkin's disease
C0278080	Dependence physiological
C0035235	Respiratory syncytial virus infection
C0860871	Sodium decreased
C0162532	Variegate porphyria
C0015930	Foetal distress syndrome
C0037188	Sinoatrial block
C0849916	Generalised erythema
C0235146	Euphoric mood
C0520589	Vulvovaginal dryness
C0026769	Multiple sclerosis
C0427564	Platelet count normal
C1261981	Urticaria localised
C0282612	Prostatic intraepithelial neoplasia
C0028866	IIIrd nerve paralysis
C0016169	Fistula
C0020540	Malignant hypertension
C0003860	Arteritis
C0019065	Peritoneal haemorrhage
C0238463	Papillary thyroid cancer
C0277525	Gastric flu
C1112632	Cross reactive drug hypersensitivity
C1141884	Head lag abnormal
C0240972	Scrotal erythema
C0080178	Spina bifida
C0574067	Cough increased
C0857183	Pre-menstrual tension syndrome
C0853705	Blood immunoglobulin G decreased
C0019372	Herpes virus infection
C0861149	Proarrhythmic effect
C0857501	Acute schizophrenia
C2242496	Parotid gland inflammation
C0016034	Fibrocystic breast disease
C0037928	Spinal cord disorder
C1266194	Hodgkin's disease lymphocyte predominance type stage unspecified
C0853330	Peripheral neuropathy aggravated
C0548823	Distress gastrointestinal
C1698259	HCV coinfection
C0392162	Sticky skin
C2973725	Pulmonary arterial hypertension
C0000817	Abortion infected
C0086066	Coryza
C0031924	Piloerection
C0149704	Gingivostomatitis
C0276253	Pneumonia cytomegaloviral
C0032519	Polymenorrhoea
C0549376	Plasma osmolality decreased
C0036502	Sebaceous gland disorder
C0555120	White blood cells urine positive
C0009319	Colitis
C0919691	Anastomotic leak
C0854693	Anaesthetic complication neurological
C0265050	Vena cava thrombosis
C0852995	Injection site pruritus
C0018524	Hallucination
C0919666	Venipuncture site hemorrhage
C0744221	Friction rub
C0151665	Globulins decreased
C0020498	Senile ankylosing vertebral hyperostosis
C0423086	Staring
C0241863	Diabetic
C0041969	Urethral disorder
C0040409	Tongue disorder
C0853748	Blood electrolytes abnormal
C0339268	Arcus juvenilis
C0948525	Musculoskeletal stiffness
C1263846	Attention deficit/hyperactivity disorder
C0236106	Photosensitivity allergic reaction
C0155018	Colour blindness acquired
C0020550	Hyperthyroidism
C0085423	Gram-negative bacterial infection NOS
C0853395	Painful red eyes
C0040261	Onychomycosis
C0236073	Cerebellar infarction
C0035460	Vasomotor rhinitis
C0006287	Bronchopulmonary dysplasia
C1167870	Graft dysfunction
C0549383	Ovarian hyperstimulation
C0271468	Eustachian tube disorder
C0852625	Injection site erythema
C0007131	Non-small cell lung cancer
C0032739	Tuberculin test positive
C0730362	Maculopathy
C0221201	Rash macular
C0017168	Gastrooesophageal reflux disease
C0553732	Prothrombin level decreased
C0234909	Nail changes
C0008924	Cleft lip
C0423618	Throbbing headache
C0032460	Polycystic ovaries
C0085437	Meningitis bacterial
C0576091	Knee deformity
C0034012	Delayed puberty
C0263962	Olecranon bursitis
C0854028	Blood copper decreased
C0026838	Muscle spasticity
C0007302	Chondropathy
C1959797	Allergic hepatitis
C0018944	Haematoma
C0741921	Cardiac enzymes increased
C0151693	Adrenal haemorrhage
C0282548	Leukostasis
C0235081	Tremor limb
C0162285	Eyelid oedema
C0155616	Secondary hypertension
C0042749	Viraemia
C0242422	Parkinsonism
C0029443	Osteomyelitis
C0002963	Prinzmetal angina
C1292769	B-cell type acute leukaemia
C0730345	Microalbuminuria
C0275524	Infection mixed
C0018989	Hemiparesis
C1868752	Procedural nausea
C0332687	Burns second degree
C0332691	Scald
C0001339	Pancreatitis acute
C0235964	Renal dysgenesis
C0221745	Depression suicidal
C0410158	Muscle damage
C2945586	Bladder irritation
C0549335	Bone pain aggravated
C0027830	Neurofibroma
C0549397	Nasal septum deviation
C1963789	Genital swelling
C0020450	Hyperemesis gravidarum
C1457883	Aggressive reaction
C0854954	Ovarian germ cell teratoma benign
C1611167	Waist circumference increased
C0853761	Blood potassium decreased
C0852962	Complication of delivery
C0031157	Peritonsillar abscess
C0160087	Ankle sprain
C0740399	Auditory and visual hallucinations
C0035854	Rosacea
C0014122	Subacute bacterial endocarditis
C0019294	Inguinal hernia
C0151713	Hyperchlorhydria
C0232115	Venous pressure increased
C0240515	Nipple pain
C0162386	Femur fracture subtrochanteric
C2004435	Intestinal ischaemia
C2363730	Oropharyngeal discomfort
C0742965	Eosinophilic cystitis
C0280100	Solid tumour
C1167868	Perinephric collection
C0877127	Application site papules
C0030587	Paroxysmal atrial tachycardia
C0520888	Electrocardiogram T wave inversion
C0349705	Haemoglobin abnormal
C0013608	Oedema due to cardiac disease
C0015674	Chronic fatigue syndrome
C0271355	VIth nerve paralysis
C0020295	Hydronephrosis
C0151879	Electrocardiogram QT shortened
C1262535	Jaundice hepatocellular
C0014848	Oesophageal achalasia
C0037290	Pigmentation skin
C1142158	Hepatic vein occlusion
C0002928	Spinal anaesthesia
C1695782	Cerebral hypoperfusion
C0038045	Sprain
C0333472	Epidermolysis
C1142178	Intestinal stoma complication
C0232208	Nodal rhythm
C0948282	Conjunctival bleb
C0039231	Tachycardia
C0003834	Arterial insufficiency
C0221436	Melanoderma
C0948168	Bone marrow toxicity
C0220854	Hyperpnea
C0020503	Hyperparathyroidism secondary
C0159028	General symptom
C0855521	Semen volume decreased
C0040213	Costochondritis
C0043387	Yawning
C0344304	Abdominal pain generalised
C0235287	Dysosmia
C0541802	Bicarbonate decreased serum
C0237326	Dyschezia
C3203690	Deficiency of bile secretion
C0239652	Paraesthesia foot
C0376288	Amaurosis
C0028961	Oliguria
C0456677	Total spinal block
C0030569	Secondary parkinsonism
C0242788	Breast neoplasm NOS male
C0522214	Visual evoked potentials abnormal
C0745744	End stage liver disease
C0266589	Ear malformation
C0041307	Bovine tuberculosis
C0004331	Atrioventricular dissociation
C0149756	Plantar fasciitis
C0002874	Aplastic anaemia
C1761613	Conjunctival hyperaemia
C0013378	Dysgeusia
C0006663	Calcinosis
C0857494	Unresponsive to stimuli
C0162566	Porphyria cutanea tarda
C0558401	Skin laceration
C0087169	Withdrawal symptom
C0151605	Injection site swelling
C0423757	Skin thinness
C0263443	Acne pustular
C0877517	Blood phosphorus decreased
C0232841	Bladder dysfunction
C0877009	Muscle fibrosis
C1536055	Drug administration error
C0030318	Panic reaction
C0451641	Urolithiasis
C1142349	Eyelid pain
C0007222	Cardiovascular disorder
C0339383	Chorioretinopathy
C1141890	Long QT syndrome congenital
C0027424	Nasal congestion
C0268732	Nephritic syndrome
C0034183	Pyelitis
C0034152	Henoch-Schonlein purpura
C0151500	Anticholinergic syndrome
C0863111	Nasal mucus blood tinged
C0543467	Surgery
C0151491	Congenital musculoskeletal anomaly
C0853759	Blood potassium abnormal
C1112470	Infusion site inflammation
C0271053	Cotton wool spots
C0027022	Myeloproliferative disorder
C0949070	Upper respiratory tract congestion
C0553713	Breast pain female
C0263518	Telogen effluvium
C0272426	Mouth injury
C0426576	Gastrointestinal symptom NOS
C0003564	Aphonia
C3495440	Bleeding breakthrough
C1290071	Oral mucosal disorder
C0155003	Blindness transient
C0038435	Stress
C0376297	Cardiac death
C0030232	Pallor
C0038220	Status epilepticus
C0264909	Defect conduction intraventricular
C0239377	Pain in arm
C0553721	Sweating decreased
C0006905	Capillary fragility
C0240717	Perineal pain
C0851980	Peritoneal infection
C0267716	Incisional hernia
C0877195	Feminisation acquired
C0151911	Generalised spasm
C0267988	Hyperproteinaemia
C2937358	Cerebral haemorrhage
C0013927	Amniotic fluid embolism
C1168175	Incision site haematoma
C0878544	Cardiomyopathy
C0151671	Glucose tolerance decreased
C0035243	Respiratory tract infection
C0268379	Pseudocholinesterase deficiency
C0581386	Chronic anxiety
C1522133	High cholesterol
C0233718	Pressure of speech
C0015663	Fasting
C0853089	Intentional self-injury
C0151966	Duodenal ulcer haemorrhage
C0206171	Community acquired infection
C0476273	Respiratory distress
C0235360	Spasm biliary
C1096708	Vessel puncture site inflammation
C0235735	Unexpected therapeutic effect
C0028841	Hypotony of eye
C0241137	Pallor of skin
C0035400	Reye's syndrome
C1536080	Coronary stent thrombosis
C1096732	Fungus sputum test positive
C0520872	Stroke volume increased
C1863751	Wound healing normal
C0152020	Gastric atony
C1153706	Endometrial adenocarcinoma
C0425669	Abdominal aortic bruit
C0564622	Albumin urine present
C0853890	Blood gastrin increased
C0524662	Dependence on opiates
C0423008	Eye bleeding
C0235293	Taste peculiar
C0024032	Birth weight low
C0003493	Aortic disorder
C0919560	Stent occlusion
C0349506	Photosensitivity
C0002880	Autoimmune haemolytic anaemia
C1527348	Brain hypoxia
C0016397	Localised infection
C0853926	Dyspepsia aggravated
C0003079	Pupils unequal
C0085819	Antibiotic associated colitis
C0032788	Postoperative hemorrhage
C0563238	Gastritis viral
C0556446	Drug craving
C0019569	Congenital megacolon
C0151489	Arterial anomaly
C0155709	Atrial fibrillation and flutter
C0003534	Aphakia
C0041671	Attention deficit disorder
C0151480	Antinuclear antibody positive
C0151814	Coronary artery occlusion
C2748362	Vulvovaginal erythema
C0013589	Ectromelia
C0740411	Delayed gastric emptying
C0027080	Myoglobinuria
C0151907	Skin discolouration
C0541974	Fuzzy head
C0541976	Gas in stomach
C0037771	Spastic paraparesis
C0269806	Failed induction of labour
C0917816	Mental deficiency
C0006277	Bronchitis
C0853784	Blood iron increased
C0034124	Pupillary disorder
C0024530	Malaria
C0018995	Haemochromatosis
C0007120	Bronchioloalveolar carcinoma
C0920163	Idiopathic thrombocytopenia
C3495559	Juvenile idiopathic arthritis
C0040441	Tooth fracture
C0238242	Lithium toxicity
C0522178	Self-injurious ideation
C0238634	Anal inflammation
C0042928	Vocal cord paralysis
C0919659	Oropharyngeal candidiasis
C0232292	Chest tightness
C0035304	Retinal degeneration
C0853710	Blood prolactin decreased
C0007760	Cerebellar syndrome
C2748357	Abdominal aortic rupture
C2239176	Hepatocellular carcinoma
C0595929	Cholesterol serum elevated
C0747979	Increased prolactin level
C0860040	BCG infection
C0853891	Tumour flare
C0155947	Dentofacial anomaly
C0151798	Hepatic necrosis
C0152253	Posterior synechiae of iris
C1458140	Bleeding tendency
C0341335	Cytomegalovirus colitis
C0149512	Acute sinusitis
C0151311	Cranial nerve paralysis
C0002888	Anaemia megaloblastic
C0877187	Ureterostomy site discomfort
C0010073	Arteriospasm coronary
C0240735	Personality change
C0856108	Hypercholesterolemia aggravated
C0520532	Subcutaneous haematoma
C0424295	Hyperkinesia
C3495917	Advanced breast cancer
C1112565	Pneumatosis intestinalis
C0156273	Bladder diverticulum
C0238033	Breast cancer male
C0858093	Plasma calcium decreased
C0751295	Memory loss
C0027651	Neoplasm
C0857305	Thrombocytopenic purpura
C0858814	Hepatitis symptom
C1096257	Dental discomfort
C0581394	Swelling of legs
C0852928	Insomnia exacerbated
C0393759	Transient insomnia
C2363722	Steroid psychosis
C1328539	Reflex tachycardia
C0919599	Application site eczema
C0023530	Leukopenia
C0006272	Obliterative bronchiolitis
C0234543	Postictal state
C0043096	Weight decreased
C0856088	Constipation aggravated
C0347721	Back strain
C0574785	Lower urinary tract symptoms
C0004114	Astrocytoma
C0003813	Sinus arrhythmia
C0025322	Premature menopause
C0454643	Word finding difficulty
C0235222	Diastolic hypertension
C0035317	Retinal haemorrhage
C0151604	Oedema genital
C0851341	Infestation NOS
C1142160	Application site discolouration
C0271901	Hypochromic microcytic anemia
C0240204	Paresthesia lips
C0036916	Sexually transmitted disease
C0238457	Renal vein thrombosis
C0812470	Abortion incomplete
C0159321	Facial bones fracture
C0270639	Transverse sinus thrombosis
C1535950	Gastrointestinal inflammation
C0001957	Delirium tremens
C1142015	Blood bilirubin abnormal
C0410198	Proximal myopathy
C0152010	Withdrawal bleed
C0006666	Calciphylaxis
C0427055	Facial paresis
C0854101	Urine sodium increased
C0341163	Gastric ulcer perforation
C0014527	Epidermolysis bullosa
C0151889	Hyperreflexia
C0014800	Hyperplasia erythroid
C0345904	Hepatic cancer
C1096034	Infusion site induration
C0343026	Nail infection
C0334044	Dysplasia
C0587094	Breast calcifications
C0151526	Premature delivery
C1096188	Puncture site reaction
C0920193	Photodermatosis
C0853619	Local swelling
C0277986	Gingival oedema
C0001416	Adenitis
C0271441	Otitis media chronic
C0520563	Toxic dilatation of intestine
C0948376	Electrocardiogram ST-T segment abnormal
C0282074	Biliary sludge
C0749249	Wide complex tachycardia
C0036830	Serum sickness
C1619702	Device related infection
C0025320	Menopause
C0018134	Graft versus host reaction
C0520933	Spermatogenesis abnormal
C0151514	Skin atrophy
C0578454	Neck swelling
C0549493	Alveolitis
C0085615	Bundle branch block right
C0267834	Hepatic cyst
C0015734	Faecalith
C0262977	Skin depigmentation
C0039070	Syncope
C0273482	Nerve compression
C0151701	Pulmonary haemorrhage
C0277925	Peripheral coldness
C0239454	Erythema of eyelid
C0859978	Amylase decreased
C0007820	Cerebrovascular disorder
C1319200	Confusion postoperative
C1536146	Eyelash darkening
C0266008	Breast malformation
C2938903	HDL cholesterol increased
C0043094	Weight increased
C0004690	Balanitis
C0085607	Volume blood increased
C0242656	Disease progression
C0948856	Orgasmic sensation decreased
C0241028	Sexually active
C0267941	Pancreatitis necrotising
C0346421	Chronic eosinophilic leukaemia
C0008449	Chondrodystrophy
C0008149	Chlamydial infection
C0151744	Myocardial ischaemia
C0393847	Multifocal motor neuropathy
C0037384	Snoring
C0856071	Confusion aggravated
C0079043	Bronchoconstriction
C0017675	Glossitis
C0152459	Skin striae
C0043012	Wakefulness
C0263449	Dermatitis perioral
C0022581	Acquired keratoderma
C0259756	Jarisch-Herxheimer reaction
C0340708	Thrombophlebitis leg deep
C0234952	Oropharyngeal spasm
C0240846	Pupillary deformity
C0040137	Thyroid nodule
C1533591	Deposit calcium
C0268104	Purine metabolism disorder
C2004489	Regurgitation
C0031542	Phlebitis
C0036093	Salivary gland disorder
C0015929	Foetal disorder
C0235025	Peripheral motor neuropathy
C0014431	Enzyme induction
C1971624	Appetite absent
C0035232	Respiratory paralysis
C1257843	Pseudomembranous colitis
C0429029	Electrocardiogram ST segment
C0428968	QRS voltage decreased
C0007867	Cervix disorder
C0265547	Limb reduction defect
C0039591	Testicular pain
C0234238	Ache
C0004134	Ataxia
C0010418	Cryptosporidiosis infection
C0232599	Bilious vomiting
C0002940	Aneurysm
C0024121	Lung neoplasm
C0948031	Primary graft dysfunction
C0007137	Squamous cell carcinoma
C0948353	Markedly reduced dietary intake
C0746961	Oxygen saturation decreased
C0042790	Disorder sight
C3495801	Granulomatosis with polyangiitis
C0234507	Anosognosia
C1442968	Anastomotic ulcer
C0151582	Urate crystalluria
