C1263960	Diabetic coma
C0085615	Bundle branch block right
C0153251	Respiratory moniliasis
C0029261	Orgasm abnormal
C0018784	Deafness neurosensory
C0234975	Convulsions aggravated
C0239836	Paraesthesia hand
C0427458	Red blood cell count increased
C0030569	Secondary parkinsonism
C0010032	Corneal abrasion
C0023646	Lichen planus
C0036830	Serum sickness
C0042909	Vitreous haemorrhage
C0265294	Metaphyseal dysplasia
C0008049	Varicella
C0269596	Haemorrhage in pregnancy
C0238154	Epidural haemorrhage
C0162119	Haemoglobin decreased
C0023440	Erythroleukaemia
C0554309	Azotemia prerenal
C0027092	Myopia
C0742906	C-reactive protein increased
C0008301	Choking
C0264886	Conduction disorder
C0345904	Hepatic cancer
C0235014	Fontanelle bulging
C2242621	Erection prolonged
C0024205	Lymphadenitis
C0037578	Soft tissue injury
C0233407	Disorientation
C2973529	Leukocytoclastic vasculitis
C0029408	Osteoarthritis
C0162296	Polyarthralgia
C0205929	Anal fistula
C0184567	Acute pain
C1868912	Uric acid increased
C0158252	Intervertebral disc disorder
C0854134	Blood bilirubin unconjugated increased
C0580493	Serum albumin decreased
C0235480	Paroxysmal atrial fibrillation
C0020541	Portal hypertension
C0271321	Madarosis
C0042251	Vaginal disorder
C0497481	Penile pain
C0221040	Dialysis dementia
C0852909	Blood bicarbonate decreased
C0234022	Anorgasmia
C0020433	Hyperbilirubinaemia
C0520589	Vulvovaginal dryness
C0948245	Cytokine release syndrome
C0349231	Phobia
C1527407	Eosinophilic pneumonia
C0085654	Injection site granuloma
C0010043	Ulcerative keratitis
C0018816	Cardiac septal defect
C0003564	Aphonia
C1096001	Application site swelling
C0441713	Chemical injury
C0042749	Viraemia
C0025287	Meningism
C0521495	Application site rash
C0028084	Nightmare
C0038941	Postoperative wound infection
C0853761	Blood potassium decreased
C0036203	Cutaneous sarcoidosis
C1096267	Injection site discomfort
C0235942	Skull malformation
C0858603	Wave slowing
C1142111	Eyelash discolouration
C0039971	Thirst
C0149744	Oral lesion
C0425643	Midsystolic click
C0016512	Foot pain
C0151717	Skin hypertrophy
C0948991	Injection site discolouration
C0151514	Skin atrophy
C0002902	Anencephaly
C0041981	Uric acid level increased
C0003462	Anus disorder
C0860871	Sodium decreased
C0026846	Muscle atrophy
C0338375	Aseptic peritonitis
C1142133	Adnexa uteri mass
C0751265	Learning disability
C0392176	Gastric irritation
C0018524	Hallucination
C0022408	Arthropathy
C0242459	Loeffler's syndrome
C0520474	Aseptic necrosis of bone
C0009763	Conjunctivitis
C0028798	Occupational exposures
C0019294	Inguinal hernia
C0015934	Microsomia
C1112677	Protein allergy
C0269806	Failed induction of labour
C0581870	Pain hunger
C0235876	Depression aggravated
C0263383	Keratosis pilaris
C0232409	Hair growth abnormal
C0151544	Gastrointestinal carcinoma
C0234936	Application site oedema
C0016927	Gagging
C0020461	Hyperkalaemia
C0030554	Paraesthesia
C0475746	Light anaesthesia
C0014038	Encephalitis
C0236000	Pain in jaw
C0162565	Porphyria acute
C0011551	Depersonalisation
C0151942	Arterial thrombosis
C0241934	Hypomania
C0085612	Ventricular arrhythmia
C0232933	Menstrual cycle abnormal
C0022504	Kaposi's varicelliform eruption
C0000729	Abdominal cramps
C0458219	Complex regional pain syndrome
C0235270	Keratopathy
C0546947	Choking sensation
C0235287	Dysosmia
C0234233	Tenderness
C0948695	White blood cell count low
C0033975	Psychotic disorder
C0034074	Pulmonary infarction
C0039685	Fallot's tetralogy
C0151799	Skin necrosis
C0016385	Cardiac flutter
C0867389	Chronic graft versus host disease
C0851710	Exfoliative conditions
C0023222	Leg pain
C0151683	Neutrophil count increased
C0855704	Vital dye staining cornea present
C0002888	Anaemia megaloblastic
C0162871	Abdominal aortic aneurysm
C0026769	Multiple sclerosis
C0542165	Pseudoparkinsonism
C0019087	Haemorrhagic disorder
C0232459	Digestion impaired
C0151490	Congenital central nervous system anomaly
C1608399	Dark circles under eyes
C0853875	Myoglobin urine present
C0022906	Lacrimal duct obstruction
C0037287	Skin nodule
C0750857	Alkaline phosphatase serum increased
C0549373	Laryngeal pain
C0085393	Immunocompromised
C0233767	Hallucination	 tactile
C1096543	Superficial punctate keratopathy
C0151746	Kidney function abnormal
C0015523	Factor XI deficiency
C0260662	Auditory disorder NOS
C0151790	Nasal septum disorder
C0002994	Angioedema
C1141890	Long QT syndrome congenital
C0424295	Hyperkinesia
C0085074	Granuloma annulare
C0856864	Headache fullness
C0206762	Limb malformation
C0232462	Decreased appetite
C0262397	Breast tenderness
C0522178	Self-injurious ideation
C0278079	Dependence psychological
C1096506	Free prostate-specific antigen increased
C0281784	Meningioma benign
C0341012	Oral herpes
C0232726	Rectal tenesmus
C0870082	Hyperkeratosis
C0542127	Oversedation
C0013428	Dysuria
C0014170	Endometrial neoplasm
C0333243	Pitting edema
C0036117	Salmonellosis
C0038990	Sweating
C0853891	Tumour flare
C0009319	Colitis
C0241669	Venous occlusion
C0853973	Blood gonadotrophin increased
C0151632	Red blood cell sedimentation rate increased
C0024141	Systemic lupus erythematosus
C0852995	Injection site pruritus
C0036974	Shock
C0151885	Reaction aggravation
C0854165	Conjunctivitis papillary
C0080233	Tooth loss
C1096243	Central line infection
C0085680	Hypochloraemia
C0040213	Costochondritis
C0700200	Presyncope
C0205204	Scab
C1695897	Infusion site irritation
C1096340	Dysphemia
C0031542	Phlebitis
C1868843	Injection site dryness
C0235557	Pulmonary granuloma
C0023211	Bundle branch block left
C0010520	Cyanosis
C0221745	Depression suicidal
C0018916	Haemangioma
C0700031	Anxiety attack
C0345907	Hepatic angiosarcoma
C0919768	Extremity contracture
C0877096	Application site paraesthesia
C0743323	Acute dyspnea
C0036358	Schizophreniform disorder
C0011649	Dermoid cyst
C0238844	Respiratory sounds decreased
C0241863	Diabetic
C3203485	Orthostatic dysregulation
C0010038	Corneal opacity
C0877144	Spontaneous penile erection
C0151718	Hypocholesterolaemia
C0003864	Arthritis
C0022638	Ketosis
C0001883	Airway obstruction NOS
C0746883	Febrile neutropenia
C0008372	Cholestasis intrahepatic
C0278106	Ejaculation failure
C2830004	Somnolence
C0234543	Postictal state
C0005779	Coagulopathy
C0206063	Radiation pneumonitis
C0039239	Sinus tachycardia
C0856099	Hemorrhoids aggravated
C0235140	Drug maladministration
C0262662	Ventricular bigeminy
C0004245	Atrioventricular block
C0220870	Lightheadedness
C0919671	Subileus
C1262013	Recall phenomenon
C0035078	Renal failure
C0026896	Myasthenia gravis
C0026603	Motion sickness
C0277890	Blood pressure diastolic decreased
C0037052	Sick sinus syndrome
C0005745	Eyelid ptosis
C0235807	Hair texture abnormal
C0562057	Burning in throat
C0030846	Penis disorder
C0015459	Face injury
C3257803	Tearing eyes
C0860703	Serum total protein decreased
C0042847	Vitamin B12 deficiency
C0029882	Otitis media
C0221244	Dandruff
C0233481	Worry
C0859037	Feeling of residual urine
C0008924	Cleft lip
C0236003	Mucosal swelling
C0555724	Lip dry
C0235475	Electrocardiogram QRS complex prolonged
C0340726	Embolism venous
C0426732	Prostatomegaly
C0151505	Application site reaction
C0231530	Muscle twitching
C0206669	Hepatocellular adenoma
C1704212	Embolus
C0541974	Fuzzy head
C0232132	Thready pulse
C0018989	Hemiparesis
C0221423	Sickness
C0749923	Urinary abnormalities
C0947858	Anaphylactic responses
C0015672	Fatigue
C0520459	Necrotizing enterocolitis
C0178298	Unspecified disorder of skin and subcutaneous tissue
C1535948	Retinal aneurysm
C0151739	Small intestinal perforation
C0003578	Apnoea
C0025061	Mediastinal disorder
C0151661	Peripheral gangrene
C0023448	Lymphocytic leukaemia
C0860803	Glucose increased
C0333516	Tumour necrosis
C0086132	Depressive symptom
C0751494	Convulsive seizure
C0002170	Alopecia
C0014534	Epididymitis
C0151479	Amylase increased
C0013473	Eating disorder
C0235351	Tongue ulceration
C0162291	Retinal ischaemia
C0438142	Urine analysis abnormal
C0948999	Urinary tract signs and symptoms
C3203358	Hypoventilation
C0861020	Insulin C-peptide decreased
C0026836	Muscle relaxation
C0041582	Ulcer
C0009946	Conversion disorder
C1510412	Vascular pseudoaneurysm
C0235117	Withdrawal emotional
C0032781	Postnasal drip
C0235532	Cyanosis peripheral
C0341858	Adenomyosis
C0079035	Bradyarrhythmia
C0034902	Aplasia pure red cell
C0341164	Gastric ulcer haemorrhage
C0151564	Cogwheel rigidity
C0522042	Loss of control of legs
C0853254	Nasal passage irritation
C0025309	Meningoencephalitis
C0948281	Malignant syndrome NOS
C0034880	Hyperacusis
C0011168	Dysphagia
C0024902	Breast pain
C0919883	Puncture site haemorrhage
C0020473	Hyperlipidaemia
C0002880	Autoimmune haemolytic anaemia
C0239376	Pain of lower extremities
C1456822	Claudication
C0595883	Blood glucose decreased
C0035302	Retinal artery occlusion
C0919603	Application site urticaria
C0748726	Allergic sinusitis
C0206160	Reticulocytosis
C0237314	Heart rate irregular
C0025322	Premature menopause
C0541941	Erection increased
C0576093	Genu valgum
C0020429	Hyperpathia
C0021933	Intussusception
C0151582	Urate crystalluria
C0863113	Hypotension symptomatic
C0027531	Neck injury
C0025209	Melanosis
C0344431	Monomorphic ventricular tachycardia
C0344432	Multifocal ventricular tachycardia
C0948643	Hyperuricosuria
C0751495	Partial seizures
C0553690	Reversible ischaemic neurological deficit
C0853021	Blood oestrogen decreased
C0042401	Vasodilation
C0008513	Chorioretinitis
C0521499	Injection site pigmentation changes
C1142015	Blood bilirubin abnormal
C0855622	Aspartate aminotransferase decreased
C0151705	Retroperitoneal haemorrhage
C0032461	Polycythaemia
C0162311	Androgenetic alopecia
C0151849	Phosphatase alkaline increased
C0085636	Photophobia
C0948586	Protein urine present
C0236993	Other sleep disturbances
C1504405	Pyramidal tract syndrome
C0152006	Vitreous opacities
C0033117	Priapism
C0025362	Mental retardation
C0235710	Chest discomfort
C0042135	Uterine atony
C0263105	Abdominal wall abscess
C0235756	Semen abnormal
C0239783	Groin pain
C0205990	Vaginal prolapse
C0234428	Consciousness abnormal
C0162532	Variegate porphyria
C0266011	Supernumerary nipple
C0740409	Psychotic behaviour
C0240322	Menstruation delayed
C1737329	Dysmorphism
C0600228	Cardio-respiratory arrest
C0853149	Blood lactate dehydrogenase increased
C0854438	Blepharal pigmentation
C0030305	Pancreatitis
C0024248	Lymphocele
C0042485	Venous insufficiency
C0556385	Alcohol craving
C0410740	Finger deformity
C1141861	Procedural complication
C0877094	Application site haemorrhage
C0438167	Electrocardiogram T wave abnormal
C0004095	Asthenopia
C0026986	Myelodysplastic syndrome
C0853124	Blood follicle stimulating hormone increased
C0596601	Gas
C1696946	Polyomavirus-associated nephropathy
C0474381	Chromatopsia
C0020438	Hypercalciuria
C0030332	Panophthalmitis
C0274312	Graft complication
C0525045	Affective disorder
C0038732	Sulphaemoglobinaemia
C0860851	Oestradiol increased
C0277986	Gingival oedema
C0038000	Splenic rupture
C0026857	Musculoskeletal disorder
C0221384	Follicular conjunctivitis
C0152027	Sensory disturbance
C0002447	Amelia
C0541879	Detachment psychological
C0022107	Irritability
C0423086	Staring
C0520802	Radiation recall syndrome
C0040136	Thyroid neoplasm
C0004238	Atrial fibrillation
C0000727	Acute abdomen
C0236061	Haptoglobin increased
C3665346	Unspecified visual loss
C0006905	Capillary fragility
C0043250	Wound
C0232943	Menometrorrhagia
C0152167	Anal spasm
C0235522	Vein disorder
C0151826	Retrosternal pain
C0259799	Punctate keratitis
C0235750	Hypertension worsened
C0264383	Organising pneumonia
C0231274	Heat intolerance
C0854058	pH urine increased
C0085436	Meningitis cryptococcal
C0151825	Bone pain
C1269683	Major depression
C0151872	Prothrombin level increased
C0022660	Renal failure acute
C0042790	Disorder sight
C0400821	Colitis microscopic
C1696701	Dermatillomania
C0013295	Duodenal ulcer
C1145628	Unspecified disorder of autonomic nervous system
C0042568	Vertebrobasilar insufficiency
C0521172	Eschar
C0429097	QRS complex
C0152965	Staphylococcal bacteraemia
C0497201	Abnormal sensation in eye
C0013927	Amniotic fluid embolism
C0549478	Device expulsion
C0000924	Accident
C0151489	Arterial anomaly
C0854069	Tumour pain
C0424790	Rigors
C2721559	Osmotic demyelination syndrome
C0018939	Blood disorder
C0021843	Intestinal obstruction
C0007134	Renal cell carcinoma
C0040137	Thyroid nodule
C0264490	Acute respiratory failure
C0679403	Vascular stenosis
C0009759	Conjunctival disorder
C0150055	Chronic pain
C0853746	Blood creatinine abnormal
C0025289	Meningitis
C0919600	Application site hyperaesthesia
C0405580	Adrenal cortical hypofunction
C0023449	Acute lymphocytic leukaemia
C1262535	Jaundice hepatocellular
C0238033	Breast cancer male
C0018995	Haemochromatosis
C0042373	Angiopathy
C0011882	Diabetic neuropathy
C0030848	Peyronie's disease
C0919924	Pulmonary toxicity
C0392702	Abnormal involuntary movements
C0700572	Mobility decreased
C0013418	Abnormal labour
C1328386	Breast fibroma
C1292769	B-cell type acute leukaemia
C1956346	Coronary artery disease
C0009144	Tongue coated
C0876973	Lung infection
C0877127	Application site papules
C0035126	Reperfusion injury
C0016033	Fibrocystic disease
C0042256	Vaginal itching
C0006287	Bronchopulmonary dysplasia
C0853885	Blood electrolytes decreased
C0852792	Blood cortisol decreased
C0026975	Myelitis
C0151517	Atrioventricular block complete
C0271355	VIth nerve paralysis
C0011616	Dermatitis contact
C0015230	Rash
C0857493	Upper gastrointestinal symptoms
C0152267	Hodgkin's disease lymphocyte depletion type stage unspecified
C1608954	Infusion site extravasation
C1527336	Sjogren's syndrome
C0085084	Motor neurone disease
C0853811	Croup infectious
C0038435	Stress
C0853785	Blood iron decreased
C0349506	Photosensitivity
C0553548	Angiitis necrotising
C0265101	Carotid artery occlusion
C0392196	Injection site urticaria
C0015786	Female sexual arousal disorder
C0001122	Acidosis
C0030299	Pancreatic pseudocyst
C0149514	Acute bronchitis
C0920163	Idiopathic thrombocytopenia
C0022680	Polycystic kidney
C0751436	Tetrahydrobiopterin deficiency
C1142160	Application site discolouration
C0239816	Hand dermatitis
C0271051	Macular oedema
C0920195	Aphakic cystoid macular oedema
C0949070	Upper respiratory tract congestion
C0243010	Encephalitis viral
C0235955	Dermatitis hemorrhagic
C0155018	Colour blindness acquired
C0037199	Sinusitis
C0400839	Rectal ulcer
C0003962	Ascites
C2242588	Traumatic liver injury
C0522172	Feeling drunk
C0037763	Muscle spasms
C0549288	Pelvic venous thrombosis
C0549374	Lumbar disc lesion
C0861111	Cardioactive drug level increased
C0235267	Eye redness
C0040128	Thyroid disorder
C1696704	Ovarian haemorrhage
C0023066	Laryngospasm
C0011848	Diabetes insipidus
C0016514	Foot and mouth disease
C0235969	Ejaculation disorder
C0040434	Tooth discolouration
C0456511	Sleep paralysis
C0039504	Tendon injury
C0043144	Wheezing
C0234916	Rash follicular
C0162830	Photosensitivity reaction
C0242461	Purpura non-thrombocytopenic
C0036202	Sarcoidosis
C0151891	Retinal depigmentation
C0151464	Injection site abscess
C0020437	Hypercalcaemia
C0151686	Growth retardation
C0948309	Pseudohyperkalaemia
C0858833	Endometrial hypertrophy
C0554976	Bradyphrenia
C2363731	Oropharyngeal pain
C0035304	Retinal degeneration
C0151602	Swelling face
C0546884	Hypovolaemia
C0043387	Yawning
C0015408	Eye injury
C0948815	Catheter site erythema
C0240521	Nipple tenderness
C0857027	Feeling sick
C0242656	Disease progression
C0700225	Serum creatinine increased
C0241832	Cerebrovascular insufficiency
C0595862	Vasodilatation
C0079744	Diffuse large B-cell lymphoma
C2712871	Gout attack
C0855618	Alanine aminotransferase decreased
C0151541	Capillary fragility increased
C1112366	Eyelid irritation
C2242595	Mucosal atrophy
C2010560	Gastritis haemorrhagic
C0455204	Homicidal ideation
C0241619	Vaginal cyst
C0281981	Skin mass
C0018800	Cardiomegaly
C0156404	Menstruation irregular
C0855625	Bilirubin conjugated increased
C0023653	Lichenification
C0040427	Tooth malformation
C0235901	Lacrimation abnormal NOS
C0020522	Type IV hypersensitivity reaction
C0039496	Temporomandibular joint syndrome
C0553576	Systemic mycosis
C0151629	Fixed eruption
C1696943	Hypoaesthesia facial
C0600260	Obstructive airways disorder
C0162292	External ophthalmoplegia
C0178829	Reproductive tract disorder
C0156353	Uterovaginal prolapse
C0853193	Bipolar I disorder
C0036396	Sciatica
C0154833	Retinal vascular disorder
C0033575	Prostatic disorder
C0948692	Necrotising colitis
C1261167	Sperm concentration
C3495916	Myocardial hypertrophy
C0234238	Ache
C0002965	Angina unstable
C1262064	Oculogyration
C0011633	Dermatomyositis
C0855223	Hallucinations	 mixed
C0035305	Retinal detachment
C0085635	Photopsia
C0473311	Haemorrhagic ovarian cyst
C2242576	Oropharyngeal blistering
C1963718	Oculorespiratory syndrome
C0151946	Pulmonary thrombosis
C0155713	Papillary muscle rupture
C0003621	Appetite disorder
C0235046	Paraesthesia skin
C0740858	Substance abuse
C0877042	Graft loss
C0578455	Abscess limb
C0002063	Alkalosis
C0236151	Renal function test abnormal
C0026205	Miosis
C0011253	Delusion
C0003128	Anovulation
C0020295	Hydronephrosis
C0040147	Thyroiditis
C1504363	Body temperature fluctuation
C0151734	Injection site inflammation
C0019557	Hip fracture
C0574960	Sacroiliitis
C0000737	Abdominal pain
C0011991	Diarrhoea
C1264613	Gastrointestinal infection
C0857160	Numbness in leg
C0020453	Hyperaesthesia
C0233494	Tension
C0024312	Lymphopenia
C0852810	Blood creatinine decreased
C0162386	Femur fracture subtrochanteric
C0240327	Taste metallic
C0278151	Facial spasm
C1112138	Vascular hypotensive disorders
C0007785	Cerebral infarction
C0151436	Allergic cutaneous angiitis
C0019345	Herpes labialis
C0151828	Injection site pain
C0032266	Pneumatosis cystoides intestinalis
C0038454	Cerebrovascular accident
C0857496	Thromboembolic event
C0002395	Dementia Alzheimer's type
C2129214	Loose stools
C0795692	Hyperlactacidaemia
C1510431	Thrombophlebitis superficial
C0678222	Carcinoma breast
C0575090	Balance disorder
C0032460	Polycystic ovaries
C0522067	Hepatic pain
C0027051	Myocardial infarction
C2364164	Fluid imbalance
C1328411	Post procedural haematoma
C0232910	Teratogenicity
C1287298	Urine output
C0239062	Circumoral oedema
C0043096	Weight decreased
C0853246	Eczema exacerbated
C0239161	Dactylitis
C0423729	Painful respiration
C1610049	Application site exfoliation
C0549433	Surgical intervention
C0010823	Cytomegalovirus infection
C0851886	Pneumocystis carinii infection
C0948031	Primary graft dysfunction
C0017657	Glomerulitis
C1442903	Exostosis
C0333139	Pneumatosis
C1457883	Aggressive reaction
C0151547	Cataract specified
C0860209	Gallbladder sludge
C0549400	Apgar score low
C0018681	Headache
C1096049	Infusion site swelling
C1112537	Neurological examination abnormal
C1142139	Drug reaction with eosinophilia and systemic symptoms
C0574002	Foot edema
C0042143	Uterine rupture
C1736186	Postoperative shivering
C0151595	Digitalis intoxication (NOS)
C0854380	Blood insulin decreased
C0221752	Blood urine
C0520547	Poor peripheral circulation
C0018674	Head injury
C1306571	Hepatic insufficiency
C0001622	Hyperadrenocorticism
C0085622	Monoplegia
C0149756	Plantar fasciitis
C0151907	Skin discolouration
C0580417	International normalised ratio abnormal
C0032227	Pleural effusion
C0475765	Nasal oedema
C0151609	Scrotal oedema
C0025345	Menstrual disorder
C0021100	Bullous impetigo
C0948811	Artificial kidney clotting during dialysis
C0018790	Cardiac arrest
C0438215	Laboratory test abnormal
C0021605	Insomnia NEC
C0521591	Paraesthesia oral
C0272753	Femur shaft fracture
C0426649	Bowel spasm
C0239377	Pain in arm
C0042075	Urinary tract disorder
C0851578	Sleep disorder
C0152202	Acquired night blindness
C0011432	Sensitivity of teeth
C0233718	Pressure of speech
C1168134	Anti-thyroid antibody positive
C0877211	General physical health deterioration
C0004144	Atelectasis
C0151624	Ulcerative enterocolitis
C0239343	Acral erythema
C0858775	Myopia transient
C0023067	Laryngitis
C0156369	Uterine polyp
C0023524	Progressive multifocal leukoencephalopathy
C0001546	Adjustment disorder
C0240802	Pregnancy test positive
C0239134	Productive cough
C0852908	Drug ineffective
C0019243	Hereditary angioedema
C1504411	Post procedural oedema
C0576995	Pharyngeal haemorrhage
C0015663	Fasting
C0346156	Benign breast neoplasm
C0040156	Thyrotoxicosis
C0235248	Vasoconstriction peripheral
C0085077	Acute febrile neutrophilic dermatosis
C0007398	Catatonia
C0855242	Disturbance in sexual arousal
C0751295	Memory loss
C0041364	Tumour lysis syndrome
C0040046	Thrombophlebitis
C0520887	Electrocardiogram ST segment depression
C0037317	Sleep disturbance
C0332573	Macule
C0549253	Bladder dilatation
C0237326	Dyschezia
C0017672	Glossodynia
C0855247	Sleep attacks
C0948873	Flu symptoms
C0699744	Ear infection
C0241012	Serum ferritin decreased
C0162529	Colitis ischaemic
C0521845	Drug effect decreased
C0027540	Necrosis
C0013404	Dyspnoea
C0162279	Choroidal detachment
C0521503	Injection site burning
C0242184	Hypoxia
C0030794	Pelvic pain
C0392171	Influenza-like symptoms
C1271398	Pigment dispersion syndrome
C0920016	Adnexa uteri cyst
C0004331	Atrioventricular dissociation
C0027720	Nephrosis
C0520878	Electrocardiogram PR shortened
C0027339	Nail disorder
C0549567	Pigmentation disorder
C0235863	Delayed delivery
C0042138	Uterine neoplasm
C0740804	Adnexal torsion
C1112346	Prostate induration
C0038587	Withdrawal syndrome
C0021899	IUD expelled
C0003708	Arachnoiditis
C0014868	Oesophagitis
C0042029	Urinary tract infection
C0019214	Hepatosplenomegaly
C0235952	Diarrhoea	 Clostridium difficile
C0009663	Anogenital warts
C0851302	Shock hypoglycaemic
C0031048	Pericarditis constrictive
C0580531	White blood cell count abnormal
C0036130	Salpingitis
C0036982	Shock haemorrhagic
C0032231	Pleurisy
C0235113	Emotional poverty
C0156394	Enlarged clitoris
C0040127	Thyrotoxic crisis
C0376356	Premenstrual tension
C0032987	Ectopic pregnancy
C0558919	Stress at work
C0858751	Lip blister
C0242429	Throat sore
C0149725	Lower respiratory tract infection
C0015645	Fasciitis
C0522165	Feeling of relaxation
C0580550	Lymphocyte count abnormal
C0281913	Muscle swelling
C0155320	Blindness cortical
C0008728	Allergic granulomatous angiitis
C0149931	Migraine
C0851354	Ear and labyrinth disorders
C0242231	Coronary artery stenosis
C0343084	Capillary leak syndrome
C0026827	Hypotonia
C0235746	Saliva altered
C0085641	Rash pustular
C0020546	Hypertensive crisis
C0085637	Oculogyric crisis
C0574741	Skin bleeding
C0549209	Feeling jittery
C1519353	Rash papular
C0595928	Serum calcium increased
C0080203	Tachyarrhythmia
C0854467	Myelosuppression
C0236051	Tolerance development
C0020565	Hypertrophy of breast
C0003044	Animal bite
C0558353	Carcinoma of tongue
C1609512	Vulvovaginal mycotic infection
C0240515	Nipple pain
C0017574	Gingivitis
C0948807	Hepatic impairment
C0013456	Ear pain
C0221150	Odynophagia
C0276141	Bronchitis viral
C0919620	Electrocardiogram ST-T change
C1535975	Pelvic discomfort
C0023787	Lipodystrophy
C0037301	Skin wrinkling
C0151882	Purpuric rash
C0920157	Mesenteric ischemia
C1504578	Implant breakage
C0745153	Hypoglycaemic episode
C0002622	Amnesia
C0037299	Skin ulcer
C0521839	Influenza like illness
C0850758	Pelvic pain female
C0033893	Tension headache
C0877305	Postoperative wound complication
C0427457	Red blood cell count decreased
C1142333	Oral mucosal irritation
C0151664	Gastrointestinal perforation
C0034103	Pulpitis dental
C0549475	Lipase increased
C0031039	Pericardial effusion
C0242891	Tooth injury
C0743400	Ejection fraction decreased
C0017185	Gastrointestinal neoplasm
C0009938	Contusion
C1140680	Ovarian cancer
C0521169	Compression fracture
C0751523	Nonconvulsive status epilepticus
C0034194	Pyloric stenosis
C0497156	Lymphadenopathy
C0235893	Allergy aggravated
C0852336	Anaemias haemolytic immune
C1096106	Wound complication
C0852911	Blood alkaline phosphatase increased
C0030922	Peptic ulcer haemorrhage
C0031117	Neuropathy peripheral
C0234533	Convulsions generalised
C0392167	Drug effect prolonged
C0038045	Sprain
C0043352	Dry mouth
C0016479	Food poisoning
C0333355	Mucosal inflammation
C0278045	Urine odour abnormal
C0003869	Arthritis infective
C0235063	Respiratory depression
C0221021	Microangiopathic haemolytic anaemia
C0236075	Menopausal symptoms
C1112320	Temperature intolerance
C0376297	Cardiac death
C0004161	Sports injury
C0546959	Atrial tachycardia
C0948484	Anal discomfort
C0235069	Tetanus-like
C0262385	Autonomic nervous system imbalance
C0021141	Inappropriate antidiuretic hormone secretion
C0042063	Congenital genitourinary abnormality
C0702163	Trichorrhexis
C0240557	Nasal irritation
C0151691	High density lipoprotein decreased
C0239935	Haematocrit increased
C0580546	Blood glucose abnormal
C0973461	Dysphasia
C0520901	Increased skin sensitivity
C0026919	Atypical mycobacterial infection
C0155709	Atrial fibrillation and flutter
C0085649	Oedema peripheral
C0585186	Cutaneous hypersensitivity
C0233514	Abnormal behaviour
C0040435	Tooth disorder
C0015393	Congenital eye disorder
C0521694	Retinal atrophy
C0595877	Blood glucose increased
C0948301	Application site skin breakdown
C0423798	Increased tendency to bruise
C0795690	Omphalocele
C0476369	Echocardiogram abnormal
C0233569	Physical wandering
C0002886	Anaemia macrocytic
C0232861	Penile discharge
C0007869	Uterine cervical erosion
C0413252	Hypothermia
C0410256	Muscle injury
C0020255	Hydrocephalus
C0853084	High density lipoprotein increased
C0860160	Diabetes mellitus inadequate control
C0027794	Neural tube defect
C0240211	Lip swelling
C0011630	Fungal skin infection
C0085679	Hyperchloraemia
C0079924	Oligohydramnios
C0006285	Bronchopneumonia
C0004691	Balanoposthitis
C0521554	Congenital vesicoureteric reflux
C0853700	Application site erythema
C0007370	Catalepsy
C0034155	Thrombotic thrombocytopenic purpura
C0151752	Lactation female
C0877104	Retinal toxicity
C3160858	Posterior reversible encephalopathy syndrome
C0948349	Respiratory tract congestion
C2242496	Parotid gland inflammation
C0085594	Fever chills
C0019080	Haemorrhage
C0151311	Cranial nerve paralysis
C0079043	Bronchoconstriction
C0007758	Cerebellar ataxia
C2721578	Pulmonary oil microembolism
C0427008	Stiffness
C0017565	Gingival bleeding
C0007193	Congestive cardiomyopathy
C0231875	Wheezing expiratory
C0020757	Ichthyosis
C0004659	Bacteriuria
C0549383	Ovarian hyperstimulation
C0018500	Hair disorder
C0877363	Gynecological-related pain
C0423008	Eye bleeding
C0009062	Clostridial infection
C0553704	Serum potassium increased
C0002957	Anger
C0424323	Violent behavior
C2750515	Subcutaneous bleeding
C0206624	Hepatoblastoma
C1692886	Arthritis bacterial
C0013384	Dyskinesia
C0235238	Cycloplegia
C0424740	Cold hands
C0338573	Intracranial venous sinus thrombosis
C0221237	Angular cheilitis
C0151596	Tongue discolouration
C0024228	Lymphatic disorder
C1262299	Oral papilloma
C0006271	Bronchiolitis
C0341177	Gastric erosions
C0338831	Mania
C0027441	Nasopharyngitis
C1697747	Laryngeal haemorrhage
C0496899	Brain neoplasm benign
C0021390	Inflammatory bowel disease
C0028738	Nystagmus
C0948817	Catheter site inflammation
C0037293	Acrochordon
C0018520	Breath odour
C0877450	Obnubilation
C0151955	Decreased tolerance
C0853619	Local swelling
C0042024	Urinary incontinence
C0014034	Enanthema
C0040584	Tracheitis
C0150077	Skin breakdown
C0741921	Cardiac enzymes increased
C0043251	Trauma
C2609183	Abnormal withdrawal bleeding
C0152115	Orofacial dyskinesia
C0236023	Periodontal destruction
C0262431	Spinal compression fracture
C0151463	Breast abscess
C0024115	Lung disorder
C0549399	Low density lipoprotein increased
C0030486	Paraplegia
C0521706	Cataract unilateral
C0877303	Post procedural pain
C0015967	Body temperature increased
C0427108	Unsteadiness
C0553731	PRL increased
C0035455	Rhinitis
C0031085	Abscess periodontal
C1735368	Acute dystonia
C0265935	Congenital arterial malformation
C0750466	Yeast infection
C0497217	Other disorders of eye
C0234131	Motor dysfunction
C0852173	Bladder and urethral symptoms
C0151599	Drug level increased
C0020452	Hyperaemia
C0031873	Pica
C0392106	Hepatic artery thrombosis
C0687713	Gastrointestinal pain
C0035326	Retinal vascular occlusion
C0856088	Constipation aggravated
C0853087	Nail abnormality NOS
